Go.	Geh.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8597805 (Roujin)
Hi.	Hallo!	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #380701 (cburgmer)
Hi.	Grüß Gott!	CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #659813 (Esperantostern)
Run!	Lauf!	CC-BY 2.0 (France) Attribution: tatoeba.org #906328 (papabear) & #941078 (Fingerhut)
Run.	Lauf!	CC-BY 2.0 (France) Attribution: tatoeba.org #4008918 (JSakuragi) & #941078 (Fingerhut)
Wow!	Potzdonner!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #2122382 (Pfirsichbaeumchen)
Wow!	Donnerwetter!	CC-BY 2.0 (France) Attribution: tatoeba.org #52027 (Zifre) & #2122391 (Pfirsichbaeumchen)
Duck!	Kopf runter!	CC-BY 2.0 (France) Attribution: tatoeba.org #280158 (CM) & #9968521 (wolfgangth)
Fire!	Feuer!	CC-BY 2.0 (France) Attribution: tatoeba.org #1829639 (Spamster) & #1958697 (Tamy)
Help!	Hilfe!	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #575889 (MUIRIEL)
Help!	Zu Hülf!	CC-BY 2.0 (France) Attribution: tatoeba.org #435084 (lukaszpp) & #2122375 (Pfirsichbaeumchen)
Hide.	Versteck dich!	CC-BY 2.0 (France) Attribution: tatoeba.org #8907581 (CK) & #7909522 (Pfirsichbaeumchen)
Hide.	Versteckt euch!	CC-BY 2.0 (France) Attribution: tatoeba.org #8907581 (CK) & #7909523 (Pfirsichbaeumchen)
Stay.	Bleib!	CC-BY 2.0 (France) Attribution: tatoeba.org #8907595 (CK) & #5344007 (wochenweise)
Stop!	Stopp!	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (CM) & #626467 (jakov)
Stop!	Anhalten!	CC-BY 2.0 (France) Attribution: tatoeba.org #448320 (CM) & #7481623 (Yorwba)
Wait!	Warte!	CC-BY 2.0 (France) Attribution: tatoeba.org #1744314 (belgavox) & #2122378 (Pfirsichbaeumchen)
Wait.	Warte.	CC-BY 2.0 (France) Attribution: tatoeba.org #3048304 (camilozeta) & #8597806 (Roujin)
Begin.	Fang an.	CC-BY 2.0 (France) Attribution: tatoeba.org #6102432 (mailohilohi) & #4942826 (Hans_Adler)
Do it.	Mache es!	CC-BY 2.0 (France) Attribution: tatoeba.org #6049386 (mailohilohi) & #899757 (Esperantostern)
Do it.	Tue es.	CC-BY 2.0 (France) Attribution: tatoeba.org #6049386 (mailohilohi) & #6625084 (Felixjp)
Go on.	Mach weiter.	CC-BY 2.0 (France) Attribution: tatoeba.org #2230774 (CK) & #6625701 (Felixjp)
Hello!	Hallo!	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #380701 (cburgmer)
Hello!	Sers!	CC-BY 2.0 (France) Attribution: tatoeba.org #373330 (CK) & #4690618 (tarsier)
Hello.	Hallo!	CC-BY 2.0 (France) Attribution: tatoeba.org #1858850 (LanguageExpert) & #380701 (cburgmer)
Hurry!	Beeil dich!	CC-BY 2.0 (France) Attribution: tatoeba.org #1182334 (Hideousss) & #131 (MUIRIEL)
Hurry!	Schnell!	CC-BY 2.0 (France) Attribution: tatoeba.org #1182334 (Hideousss) & #1169837 (Haehnchenpaella)
I hid.	Ich versteckte mich.	CC-BY 2.0 (France) Attribution: tatoeba.org #8397686 (CK) & #4785329 (Tamy)
I hid.	Ich habe mich versteckt.	CC-BY 2.0 (France) Attribution: tatoeba.org #8397686 (CK) & #8861617 (mramosch)
I ran.	Ich rannte.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828607 (CK) & #6643977 (Felixjp)
I see.	Ich verstehe.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #547386 (Espi)
I see.	Aha.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111796 (CK) & #5677459 (eric2)
I try.	Ich versuche es.	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #4561105 (Juri)
I try.	Ich probiere es.	CC-BY 2.0 (France) Attribution: tatoeba.org #20776 (CK) & #4944510 (Hans_Adler)
I won!	Ich hab gewonnen!	CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #4941621 (Hans_Adler)
I won!	Ich habe gewonnen!	CC-BY 2.0 (France) Attribution: tatoeba.org #2005192 (CK) & #4941622 (Hans_Adler)
I won.	Ich habe gewonnen.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828608 (CK) & #3143019 (samueldora)
Oh no!	Oh, Nein!	CC-BY 2.0 (France) Attribution: tatoeba.org #1299275 (CK) & #4561088 (Juri)
